id,lad_name,house_price,imd_score,income_score,employment_score,edu_score,health_score,crime_score,housing_barriers_score,living_envir_score,income_decile,employment_decile,edu_decile,health_decile,crime_decile,housing_barriers_decile,living_envir_decile
E07000118,Chorley,183748.5227,16.862,0.100712121,0.090121212,15.68304545,0.189818182,-0.23930303,13.791,18.27506061,6.363636364,5.833333333,6.46969697,4.803030303,6.409090909,7.590909091,6.015151515
E07000119,Fylde,203783.4804,16.10894118,0.097058824,0.096431373,12.38980392,0.238235294,-0.559078431,12.38760784,19.32623529,6.235294118,5.215686275,6.941176471,4.490196078,7.745098039,7.901960784,5.960784314
E07000120,Hyndburn,107774.0673,33.82386538,0.178961538,0.149769231,29.73225,1.070115385,0.441769231,7.223115385,39.93163462,3.980769231,3.423076923,4.192307692,2.115384615,3.807692308,9.25,2.884615385
E07000121,Lancaster,164101.8539,24.73073034,0.13347191,0.112932584,20.74249438,0.551359551,0.035651685,14.64808989,31.77921348,5.370786517,5.123595506,5.797752809,3.606741573,5.438202247,7.471910112,3.853932584
E07000122,Pendle,114647.1754,30.23942105,0.164421053,0.129596491,32.31482456,0.650035088,0.055473684,9.588789474,45.51215789,4.263157895,4.122807018,3.807017544,3.157894737,5.210526316,8.877192982,2.280701754
E07000123,Preston,134716.2353,28.92825581,0.158662791,0.1225,25.0515,0.751418605,0.464,13.38415116,33.59881395,4.488372093,4.360465116,5.186046512,2.953488372,3.930232558,7.895348837,3.627906977
E07000124,Ribble Valley,246961.0125,10.295325,0.05585,0.0572,7.1792,-0.448625,-0.828075,18.9118,23.3438,8.2,7.525,8.25,7.25,8.3,6.35,5.125
E07000125,Rossendale,136890.5349,24.96144186,0.149837209,0.127069767,22.63516279,0.399651163,0.116023256,16.46962791,26.62109302,4.558139535,3.976744186,5.069767442,3.953488372,5.11627907,6.906976744,4.093023256
E07000126,South Ribble,174509.4191,15.74168571,0.093442857,0.082128571,14.41797143,0.125728571,-0.309,11.71965714,23.88264286,6.657142857,6.185714286,6.642857143,5.042857143,6.642857143,8.271428571,4.914285714
E07000127,West Lancashire,188728.5775,18.82278082,0.125013699,0.104726027,19.40415068,0.023219178,-0.473794521,19.10641096,13.89312329,5.684931507,5.315068493,6.04109589,5.506849315,7.301369863,6.150684932,6.931506849
E07000128,Wyre,156876.4203,22.13468116,0.132434783,0.117202899,20.49728986,0.504014493,-0.329043478,12.69397101,19.69231884,5.246376812,4.855072464,5.695652174,3.811594203,6.768115942,7.913043478,5.855072464
E07000129,Blaby,224097.8333,10.92468333,0.07105,0.060566667,17.1865,-0.477416667,-0.230583333,12.90773333,12.39008333,7.2,7.216666667,5.616666667,7.366666667,6.383333333,7.816666667,7.333333333
E07000130,Charnwood,225560,13.33986869,0.084626263,0.067646465,17.72329293,-0.444292929,-0.164414141,16.58627273,15.84249495,6.929292929,7.03030303,5.818181818,7.050505051,6.191919192,6.898989899,6.414141414
E07000131,Harborough,297856.6489,8.067319149,0.056404255,0.047638298,11.11885106,-1.045489362,-0.641148936,18.38887234,10.46031915,8.170212766,8.255319149,7.212765957,9,8,6.574468085,8.021276596
E07000132,Hinckley and Bosworth,219225.75,13.51825758,0.082030303,0.071545455,21.66816667,-0.420454545,-0.200530303,15.75018182,14.12972727,6.924242424,6.651515152,5.075757576,7.106060606,6.348484848,7.272727273,6.893939394
E07000133,Melton,244073.0833,12.55876667,0.0721,0.0586,15.50136667,-0.5684,-0.544133333,23.50306667,19.04953333,7.333333333,7.533333333,6.533333333,7.666666667,7.5,5.166666667,6.133333333
E07000134,North West Leicestershire,216333.5517,14.76167241,0.090362069,0.079741379,22.0212069,-0.155327586,-0.285086207,16.52396552,12.11065517,6.482758621,6.120689655,5.068965517,6.103448276,6.775862069,6.931034483,7.586206897
E07000135,Oadby and Wigston,242282.5,13.14761111,0.087527778,0.073583333,18.05286111,-0.157333333,-0.42075,16.12980556,8.973277778,6.583333333,6.555555556,5.916666667,6.111111111,7.166666667,7.027777778,8.25
E07000136,Boston,163625.5556,22.85191667,0.127194444,0.102472222,40.783,0.097361111,-0.605861111,21.57111111,20.75786111,4.861111111,4.638888889,2.722222222,5.083333333,7.694444444,5.583333333,5.666666667
E07000137,East Lindsey,180679.9375,29.65964198,0.162320988,0.14991358,32.02649383,0.589753086,-0.607728395,23.63225926,25.72606173,4.049382716,3.37037037,3.716049383,3.345679012,7.604938272,5.296296296,4.839506173
E07000138,Lincoln,157936.6071,27.38885965,0.158912281,0.129122807,31.75549123,0.671894737,0.078263158,22.06361404,14.16515789,4.50877193,4.315789474,3.964912281,3.122807018,5.070175439,5.035087719,7.070175439
E07000139,North Kesteven,209136.6328,11.66101563,0.08203125,0.073640625,13.6224375,-0.56590625,-1.386953125,19.2171875,13.248375,6.765625,6.34375,6.453125,7.734375,9.484375,6.3125,7.359375
E07000140,South Holland,189799.898,18.02389796,0.103653061,0.085693878,32.57159184,-0.187285714,-0.726387755,23.72897959,14.81738776,5.653061224,5.448979592,3.06122449,6.183673469,8.265306122,5,6.857142857
E07000141,South Kesteven,228822.6563,13.31706173,0.091938272,0.074506173,16.41993827,-0.500358025,-0.951222222,21.87174074,11.96667901,6.50617284,6.518518519,6.358024691,7.395061728,8.580246914,5.50617284,7.543209877
E07000142,West Lindsey,179554.4135,20.90146154,0.125615385,0.108653846,20.29836538,-0.005634615,-0.816519231,23.31896154,21.96863462,5.442307692,4.942307692,5.846153846,5.557692308,7.980769231,5.173076923,5.5
E07000143,Breckland,224560.141,19.61729487,0.099,0.086089744,33.07679487,-0.013589744,-0.607012821,25.9750641,18.6395641,6.025641026,5.58974359,3.397435897,5.487179487,7.756410256,4.487179487,6.141025641
E07000144,Broadland,257924.9226,11.7677381,0.071119048,0.068809524,16.09910714,-0.526392857,-1.070428571,21.47628571,15.4177381,7.178571429,6.607142857,5.69047619,7.607142857,9.047619048,5.571428571,6.642857143
E07000145,Great Yarmouth,178058.5833,32.3572459,0.180819672,0.154327869,40.88503279,0.578098361,0.036901639,20.98834426,23.99011475,3.836065574,3.262295082,2.836065574,3.37704918,5.573770492,5.524590164,5.016393443
E07000146,King's Lynn and West Norfolk,230084.0455,23.63096629,0.119831461,0.102719101,32.89159551,0.448089888,-0.68347191,25.18468539,23.68952809,5.157303371,4.730337079,3.404494382,3.685393258,7.741573034,4.539325843,5.112359551
E07000147,North Norfolk,266826.5323,21.10751613,0.108032258,0.097258065,24.59190323,0.026516129,-1.016645161,30.74719355,28.55924194,5.370967742,4.870967742,4.193548387,5.387096774,9.032258065,3.225806452,4.419354839
E07000148,Norwich,208294.0926,28.0833012,0.16546988,0.121795181,34.42062651,0.712795181,0.257987952,14.22189157,20.34273494,4.240963855,4.481927711,4.060240964,3.048192771,4.373493976,7.614457831,5.602409639
E07000149,South Norfolk,273978.642,13.63474074,0.078654321,0.068876543,15.51353086,-0.58554321,-0.929135802,25.32169136,23.12101235,6.851851852,6.666666667,6.024691358,7.851851852,8.679012346,4.567901235,5.296296296
E07000150,Corby,182466.125,26.82129268,0.141439024,0.118390244,40.5852439,0.66795122,0.076219512,24.33302439,9.084536585,4.682926829,4.414634146,2.951219512,3.146341463,5.317073171,4.365853659,8.268292683
E07000151,Daventry,280443.9205,13.33320455,0.073681818,0.062136364,17.64429545,-0.542568182,-0.130386364,23.22777273,15.09484091,7.340909091,7.363636364,6.136363636,7.5,6.045454545,4.863636364,6.727272727
